company_name,debt_equity,ebitda_margin,pat_margin,price_to_book_value,roce,roe,ronw
Aditya Infotech Ltd. IPO,0.41,8.27%,11.25%,7.06,33.27%,34.53%,34.53%
Aegis Vopak Terminals Ltd. IPO,2.59,,15.18%,17.71,8.39%,8.68%,7.51%
Ajax Engineering Ltd. IPO,0.01,,12.65%,7.84,32.82%,24.53%,19.39%
All Time Plastics Ltd. IPO,0.88,18.16%,8.46%,7.15,16.99%,19.01%,19.01%
Amanta Healthcare Ltd. IPO,2.02,22.11%,3.86%,3.77,13.72%,12.42%,10.89%
Anlon Healthcare Ltd. IPO,0.73,26.88%,17.06%,4.51,21.93%,40.45%,25.51%
Anthem Biosciences Ltd. IPO,0.05,36.81%,23.38%,13.23,26.88%,20.82%,20.82%
Belrise Industries Ltd. IPO,0.97,,4.36%,2.5,14.83%,,13.33%
BlueStone Jewellery & Lifestyle Ltd. IPO,0.8,4.13%,-12.53%,2.01,-3.67%,-34.53%,-24.45%
Borana Weaves Ltd. IPO,,,11.85%,9.09,27.42%,49.45%,49.77%
Brigade Hotel Ventures Ltd. IPO,7.4,35.45%,5.03%,32.26,13.62%,,30.11%
Crizac Ltd. IPO,,25.05%,17.28%,8.48,40.03%,30.24%,30.24%
Denta Water & Infra Solutions Ltd. IPO,0.01,,25.03%,5.01,76.99%,36.36%,36.36%
Dr.Agarwal's Health Care Ltd. IPO,,,6.90%,7.96,14.61%,9.33%,6.21
Ellenbarrie Industrial Gases Ltd. IPO,0.32,35.12%,23.90%,20.93,13.71%,16.88%,24.97%
GNG Electronics Ltd. IPO,1.95,8.94%,4.89%,10.17,17.31%,30.40%,30.40%
Gem Aromatics Ltd. IPO,0.78,17.55%,10.56%,5.36,16.02%,18.80%,18.80%
Globe Civil Projects Ltd. IPO,1.6,13.44%,4.59%,3.92,23.07%,21.95%,19.80%
Highway Infrastructure Ltd. IPO,0.61,6.32%,4.44%,3.44,16.56%,19.03%,19.03%
Indiqube Spaces Ltd. IPO,-110.58,58.20%,-12.66%,,34.21%,-2.19%,
Indogulf Cropsciences Ltd. IPO,0.67,10.09%,5.11%,1.13,11.93%,12.20%,12.19%
JSW Cement Ltd. IPO,0.98,13.78%,-2.77%,6.16,7.05%,-6.9,-4.85%
Laxmi Dental Ltd. IPO,0.94,,13.03%,49.59,19.97%,78.78%,78.78%
M&B Engineering Ltd. IPO,0.33,12.78%,7.73%,6.28,24.80%,25.13%,25.14%
Mangal Electrical Industries Ltd. IPO,0.92,14.90%,8.61%,7.09,25.38%,29%,34.14%
National Securities Depository Ltd. IPO,,23.95%,22.35%,7.98,22.70%,17.11%,17.11%
Oswal Pumps Ltd. IPO,0.42,19.79%,12.83%,38.14,81.85%,,88.73%
Patel Retail Ltd. IPO,1.34,7.61%,3.08%,4.72,14.43%,19.02%,19.02%
Prostarm Info Systems Ltd. IPO,0.51,14.20%,8.85%,5.34,32.41%,31.41%,32.09%
Quadrant Future Tek Ltd. IPO,1.86,,9.68%,19.73,26.12%,33.41%,33.41%
Quality Power Electrical Equipments Ltd. IPO,0.2,,16.74%,16.11,19.20%,29.15%,29.15%
Regaal Resources Ltd. IPO,2.08,12.32%,5.19%,6.18,14.17%,20.25%,20.25%
Sambhv Steel Tubes Ltd. IPO,0.8,12.43%,6.41%,4.51,17.66%,25.42%,25.42%
Scoda Tubes Ltd. IPO,,14.70%,4.58%,8.76,15.92%,28.77%,28.77%
Shanti Gold International Ltd. IPO,1.6,8.83%,5.05%,7.05,25.70%,,44.85%
Shreeji Shipping Global Ltd. IPO,0.75,33.03%,23.24%,10.76,28.09%,42.91%,42.91%
Smartworks Coworking Spaces Ltd. IPO,2.9,62.39%,,38.58,42.30%,,-58.76%
Sri Lotus Developers & Realty Ltd. IPO,0.13,52.57%,41.46%,7.01,27.22%,24.39%,24.39%
Stallion India Fluorochemicals Ltd. IPO,0.55,,6.26%,4.69,13.96%,12.54%,12.54%
Standard Glass Lining Technology Ltd. IPO,0.32,,10.92%,5.7,25.49%,20.74%,20.74%
Travel Food Services Ltd. IPO,,40.07%,21.54%,13.82,51.40%,35.47%,34.64%
Vikram Solar Ltd. IPO,0.19,14.37%,4.08%,8.46,24.49%,16.57%,11.26%
Vikran Engineering Ltd. IPO,0.58,17.50%,8.44%,3.81,23.34%,16.63%,16.63%
