Company Name,eps_pre_ipo,pe_pre_ipo,eps_post_ipo,pe_post_ipo
Aditya Infotech Ltd. IPO,32,21.09,29.98,22.52
Aegis Vopak Terminals Ltd. IPO,0.88,268.51,1.03,227.36
Ajax Engineering Ltd. IPO,19.68,31.96,17.66,35.62
All Time Plastics Ltd. IPO,8.55,32.17,7.22,38.09
Amanta Healthcare Ltd. IPO,3.64,34.59,2.7,46.59
Anlon Healthcare Ltd. IPO,5.15,17.67,3.86,23.57
Anthem Biosciences Ltd. IPO,8.07,70.62,8.07,70.62
Arisinfra Solutions Ltd. IPO,-5.3,-41.89,,
Ather Energy Ltd. IPO,-47,,,
Belrise Industries Ltd. IPO,5.42,16.61,3.68,24.47
Borana Weaves Ltd. IPO,11.83,18.26,14.66,14.73
Brigade Hotel Ventures Ltd. IPO,0.8,112.38,0.62,144.48
Crizac Ltd. IPO,8.74,28.03,8.74,28.03
Denta Water & Infra Solutions Ltd. IPO,31.11,9.45,18.13,16.22
Dr.Agarwal's Health Care Ltd. IPO,3.08,130.44,2.51,160.48
Ellenbarrie Industrial Gases Ltd. IPO,6.36,62.88,5.91,67.69
GNG Electronics Ltd. IPO,7.11,33.35,6.05,39.14
Gem Aromatics Ltd. IPO,11.39,28.52,10.22,31.8
Globe Civil Projects Ltd. IPO,3.58,19.83,3.97,17.88
HDB Financial Services Ltd. IPO,27.41,27,26.29,28.15
Highway Infrastructure Ltd. IPO,3.88,18.06,3.12,22.41
Indiqube Spaces Ltd. IPO,-7.65,,,
Indogulf Cropsciences Ltd. IPO,5.79,19.18,4.57,24.27
JSW Cement Ltd. IPO,-1.31,-112.61,-1.2,-122.38
Kalpataru Ltd. IPO,-6.96,-59.52,0.36,1160.05
Laxmi Dental Ltd. IPO,4.88,87.77,8.27,51.73
Laxmi India Finance Ltd. IPO,8.61,18.35,6.89,22.94
M&B Engineering Ltd. IPO,15.41,24.98,13.48,28.55
Mangal Electrical Industries Ltd. IPO,23.08,24.31,17.12,32.77
National Securities Depository Ltd. IPO,17.16,46.63,,
Oswal Pumps Ltd. IPO,9.82,62.54,25.35,24.22
Patel Retail Ltd. IPO,10.16,25.1,7.57,33.69
Prostarm Info Systems Ltd. IPO,5.32,19.75,5.01,20.97
Quadrant Future Tek Ltd. IPO,4.9,59.13,-6.05,-47.91
Quality Power Electrical Equipments Ltd. IPO,7.69,55.28,12.93,32.86
Regaal Resources Ltd. IPO,5.8,17.58,4.64,21.98
Sambhv Steel Tubes Ltd. IPO,3.42,23.97,1.84,44.54
Schloss Bangalore Ltd. IPO,2.71,160.63,2.04,213.09
Scoda Tubes Ltd. IPO,4.14,33.81,5.54,25.25
Shanti Gold International Ltd. IPO,10.34,19.24,7.75,25.69
Shreeji Shipping Global Ltd. IPO,9.63,26.16,8.67,29.07
Smartworks Coworking Spaces Ltd. IPO,-6.12,,-5.54,
Sri Lotus Developers & Realty Ltd. IPO,5.23,28.69,4.66,32.17
Stallion India Fluorochemicals Ltd. IPO,2.41,37.41,4.18,21.55
Standard Glass Lining Technology Ltd. IPO,3.25,43.04,3.64,38.5
Travel Food Services Ltd. IPO,28.83,38.15,28.83,38.15
Vikram Solar Ltd. IPO,4.42,75.16,3.87,85.88
Vikran Engineering Ltd. IPO,4.24,22.88,3.02,32.15
